name
"Defects, doping, strain, phase transformations and interface engineering in 2D TMDs",
"Scalable and wafer-scale synthesis, epitaxy, transfer and process integration",
"Electrical contacts, gate dielectrics and charge transport in scaled TMD transistors",
"2D TMD CMOS devices, logic circuits and monolithic three-dimensional integration",
"TMD-based memories, neuromorphic devices and in-memory computing",
"Two-dimensional ferroelectrics, sliding ferroelectricity and ferroelectric devices",
"Ferromagnetic and antiferromagnetic 2D materials and magnetic van der Waals heterostructures",
"Ferroelectric spintronics, spin–orbit phenomena and magnetoelectric devices",
"van der Waals heterostructures, moiré superlattices and twistronics",
"Quantum, correlated and topological states in 2D TMDs",
"Excitons, trions, polarons, valley physics and many-body optical phenomena",
"Ultrafast and nonlinear optical properties of 2D TMDs",
"TMD-based optoelectronic, photonic, plasmonic and quantum-light devices",
"Flexible electronics, sensors and bio-integrated devices",
"2D TMDs for catalysis, energy conversion and energy storage"
